,band,count,flag
640,Earls Court,30.0,1.0
641,オルタニカ,30.0,1.0
642,てあしくちびる,30.0,1.0
643,坂本タクヤ,29.0,1.0
644,はっち,29.0,0.0
645,Jump the Lights,29.0,1.0
646,ひねもす大臣,29.0,1.0
647,フィルムズ,29.0,0.0
648,ソコラノグループ,29.0,1.0
649,meDag.,29.0,0.0
650,小玉哲也,29.0,1.0
651,SPACE BOYS,29.0,1.0
652,ケバブジョンソン,29.0,1.0
653,LONESOME DOVE WOODROWS,29.0,1.0
654,イツエ,29.0,1.0
655,惑星アブノーマル,29.0,1.0
656,BULL HEAD CATS,29.0,0.0
657,FIX,29.0,0.0
658,ExceNtRip,29.0,1.0
659,Far apart Daily life,29.0,1.0
660,SHIRO,29.0,0.0
661,The Wisely Brothers,29.0,1.0
662,レディオサイエンス,29.0,1.0
663,TV BONES,29.0,1.0
664,サイコロチーム,29.0,1.0
665,セカイイチ,29.0,1.0
666,みずすまし,29.0,1.0
667,掃除と修繕！！,29.0,-1.0
668,KIRIHITO,29.0,1.0
669,ドブロク,29.0,1.0
670,HIGH FLUX,29.0,1.0
671,Bubble No.7,29.0,1.0
672,DadaD,29.0,1.0
673,BrownCrow,29.0,1.0
674,1年2組,29.0,1.0
675,Gypsy Candle,29.0,1.0
676,ミルクブッシュ,28.0,0.0
677,UNIST,28.0,1.0
678,FOUR GET ME A NOTS,28.0,1.0
679,maggie,28.0,0.0
680,Feam,28.0,1.0
681,THE FUNKY SPRING HIAR,28.0,1.0
682,工藤秀平,28.0,0.0
683,KANETA,28.0,0.0
684,crackpot people,28.0,0.0
685,鼻ホームランの森,28.0,1.0
686,ユカコ,28.0,-1.0
687,アニュウリズム,28.0,1.0
688,MARMALADE BOYZ,28.0,1.0
689,あヴぁんだんど,28.0,1.0
690,halnote,28.0,1.0
691,東京スーパースターズ,28.0,1.0
692,mothercoat,28.0,1.0
693,チャラン・ポ・ランタン,28.0,1.0
694,Home is a fire,28.0,1.0
695,匿名希望,28.0,1.0
696,★20歳未満の方のご入場はお断りしています。,28.0,-1.0
697,レクター,28.0,0.0
